,year,"Population, total",Rural population,Urban population,Population growth (annual %),"Birth rate, crude (per 1,000 people)",Newborn,GDPinUSD,GDP growth %
0,1960,32718461.0,27908847.0,4809614.0,,41.331,1352287.0,,
1,1961,33621982.0,28568262.0,5053720.0,2.72406040709517,35.609,1197245.0,,
2,1962,34533889.0,29226376.0,5307513.0,2.67610525144357,39.8,1374449.0,,
3,1963,35526727.0,29944057.0,5582670.0,2.83441546925074,39.719,1411086.0,,
4,1964,36509166.0,30644334.0,5864832.0,2.72780658960257,38.366,1400711.0,,
5,1965,37466077.0,31313772.0,6152305.0,2.58725578835246,36.917,1383135.0,,
6,1966,38388210.0,31945133.0,6443077.0,2.431447096647,35.297,1354989.0,,
7,1967,39282564.0,32544426.0,6738138.0,2.30303751050948,34.398,1351242.0,,
8,1968,40145287.0,33108220.0,7037067.0,2.17242923906294,34.978,1404202.0,,
9,1969,41015865.0,33669513.0,7346352.0,2.1453894381843,34.775,1426327.0,,
10,1970,41928849.0,34255870.0,7672979.0,2.20151672156355,34.787,1458579.0,,
11,1971,42916624.0,35021682.0,7894942.0,2.32851464073448,35.202,1510751.0,,
12,1972,43906019.0,35786918.0,8119101.0,2.27921610438307,35.755,1569860.0,,
13,1973,44891281.0,36546890.0,8344391.0,2.21921710647356,36.168,1623628.0,,
14,1974,45898698.0,37322526.0,8576172.0,2.21931618420539,34.95,1604159.0,,
15,1975,46969616.0,38147783.0,8821833.0,2.30641739232538,34.411,1616271.0,,
16,1976,48163573.0,39070290.0,9093283.0,2.5102063873586,33.99,1637080.0,,
17,1977,49418150.0,40039573.0,9378577.0,2.571477717469,33.649,1662871.0,,
18,1978,50701458.0,41029648.0,9671810.0,2.56369019574667,33.634,1705293.0,,
19,1979,51831389.0,41892720.0,9938669.0,2.20412634134941,33.559,1739410.0,,
20,1980,52968270.0,42773467.0,10194803.0,2.16971240332666,33.454,1772001.0,,
